cty_fips,totalvote,o_tot,status
18001,13106,NA,missing in old data
18003,125285,120488,old differs
18005,27954,16192,old differs
18007,3809,NA,missing in old data
18009,5199,NA,missing in old data
18011,22061,22061,identical
18013,7258,7258,identical
18015,8528,NA,missing in old data
18017,13833,NA,missing in old data
18019,42005,42005,identical
18021,10503,10503,identical
18023,11548,11548,identical
18025,4498,4498,identical
18027,10431,10431,identical
18029,20276,6836,old differs
18031,10022,10022,identical
18033,15190,15190,identical
18035,47169,47169,identical
18037,16574,NA,missing in old data
18039,60352,26220,old differs
18041,9127,9127,identical
18043,33377,33377,identical
18045,7630,2502,old differs
18047,9607,9607,identical
18049,8702,8702,identical
18051,14608,14608,identical
18053,26508,26508,identical
18055,12848,12848,identical
18057,101762,101762,identical
18059,27487,NA,missing in old data
18061,17243,17243,identical
18063,50364,50364,identical
18065,20149,20149,identical
18067,36573,23875,old differs
18069,15144,NA,missing in old data
18071,16301,16301,identical
18073,11391,NA,missing in old data
18075,8004,NA,missing in old data
18077,12760,NA,missing in old data
18079,10504,NA,missing in old data
18081,49884,NA,missing in old data
18083,15429,15429,identical
18085,27874,27874,identical
18087,8853,8853,identical
18089,181978,181978,identical
18091,42265,42265,identical
18093,16864,NA,missing in old data
18095,54343,NA,missing in old data
18097,315498,296853,old differs
18099,17592,17592,identical
18101,4980,4980,identical
18103,13173,NA,missing in old data
18105,47930,37239,old differs
18107,14211,14211,identical
18109,25023,25023,identical
18111,5683,NA,missing in old data
18113,15309,15309,identical
18115,2914,NA,missing in old data
18117,8595,8595,identical
18119,7442,7442,identical
18121,6875,6875,identical
18123,8283,NA,missing in old data
18125,6172,6172,identical
18127,63452,58403,old differs
18129,11960,11960,identical
18131,5632,5632,identical
18133,12817,NA,missing in old data
18135,11001,11001,identical
18137,11739,NA,missing in old data
18139,7252,7252,identical
18141,108129,108129,identical
18143,8668,8668,identical
18145,15531,1924,old differs
18147,9840,NA,missing in old data
18149,8965,8965,identical
18151,12618,12618,identical
18153,8295,8295,identical
18155,3643,NA,missing in old data
18157,50875,50875,identical
18159,7609,7609,identical
18161,3239,3239,identical
18163,69636,69636,identical
18165,6932,6932,identical
18167,39056,39056,identical
18169,12950,NA,missing in old data
18171,3860,NA,missing in old data
18173,25806,25806,identical
18175,10867,10867,identical
18177,27504,27504,identical
18179,11999,NA,missing in old data
18181,10359,8617,old differs
18183,13157,13157,identical
