year,state_po,off_dem,off_rep,off_sum,off_total,our_dem,our_rep,our_total,n_counties,rel_dem,rel_rep,rel_tot,s_dem,s_rep,s_tot
2006,MO,1055255,1006941,2128459,2128459,981699,985429,2031480,115,-0.0697044790121819,-0.021363714457947387,-0.0455630106100235,BAD (>=2%),BAD (>=2%),BAD (>=2%)
2006,MS,213000,388399,610921,610921,213000,388399,610921,82,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2006,MT,199845,196283,406505,406505,199845,196283,406505,56,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2006,ND,150146,64417,218152,218152,150146,64417,218152,53,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2006,NE,378388,213928,592316,592316,378388,213928,592316,93,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2006,NJ,1200843,997775,2250070,2250070,1200843,997775,2250070,21,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2006,NM,394365,163826,558550,558550,394365,163826,558550,33,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2006,NV,238796,322501,582572,582572,238796,322501,582572,17,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2006,NY,3008428,1392189,4490053,4490053,3008428,1392189,4490053,62,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2006,OH,2257369,1761037,4019236,4019236,2257369,1761037,4019236,88,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2006,PA,2392984,1684778,4077762,4077762,2392984,1684778,4081043,67,0,0,8.046080178293878e-4,ok (<0.05%),ok (<0.05%),small (<0.5%)
2006,RI,206118,179001,385451,385451,206108,179001,385109,5,-4.8515898659990876e-5,0,-8.872723121745695e-4,ok (<0.05%),ok (<0.05%),small (<0.5%)
2006,TN,879989,929911,1833695,1833695,879976,929911,1833695,95,-1.477291193412645e-5,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2006,TX,1555202,2661789,4314663,4314663,1555202,2661789,4314663,254,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2006,UT,177459,358750,571252,571252,177459,356238,571252,29,0,-0.007002090592334495,0,ok (<0.05%),check (0.5-2%),ok (<0.05%)
2006,VA,1175606,1166277,2367985,2367985,1175606,1166277,2370445,134,0,0,0.0010388579319548054,ok (<0.05%),ok (<0.05%),small (<0.5%)
2006,VT,0,86659,262152,262152,171638,84924,262419,14,171638,-0.020021001857856657,0.001018493087979493,BAD (>=2%),BAD (>=2%),small (<0.5%)
2006,WA,1184659,832106,2083734,2083734,1184659,832106,2083734,39,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2006,WI,1439214,630299,2137043,2137043,1439214,630299,2138297,72,0,0,5.867921235089795e-4,ok (<0.05%),ok (<0.05%),small (<0.5%)
2006,WV,296276,155043,459884,459884,296276,155043,459884,55,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2006,WY,57671,135174,192845,192845,57671,135174,193136,23,0,0,0.0015089838989862324,ok (<0.05%),ok (<0.05%),small (<0.5%)
2008,AL,752391,1305383,2057774,2060191,752391,1305383,2060191,67,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2008,AR,804678,0,1011754,1011754,804678,0,1011754,75,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2008,CO,1231049,990784,2331712,2331712,1231049,990784,2331712,64,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2008,DE,257539,140595,398134,398134,257539,140595,398134,3,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2008,GA,909923,1228033,2137956,2137956,909923,1228033,2137956,159,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2008,IA,941665,560006,1501671,1502918,941665,560006,1502918,99,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2008,ID,219903,371744,644780,644780,219903,371744,644777,44,0,0,-4.652749775117094e-6,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2008,IL,3615844,1520621,5329884,5329884,3615844,1520621,5329884,102,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2008,KS,441399,727121,1210690,1210690,441399,727121,1210690,105,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2008,KY,847005,953816,1800821,1800821,847005,953816,1800821,120,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2008,LA,988298,867177,1896574,1896574,988298,867177,1896574,64,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2008,MA,1971974,926044,2991731,2995247,1971974,926044,2994247,14,0,0,-3.338622824762031e-4,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2008,ME,279510,444300,723810,724430,279510,444300,724430,16,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2008,MI,3038386,1641070,4848620,4848620,3038386,1641070,4848620,83,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2008,MN,1212629,1212317,2885306,2887646,1211950,1211901,2886441,87,-5.599404269566372e-4,-3.4314457357275367e-4,-4.1729491772883517e-4,small (<0.5%),ok (<0.05%),ok (<0.05%)
2008,MS,480915,766111,1247026,1247026,480915,766111,1247026,82,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2008,MT,348289,129369,477658,477658,348289,129369,477658,56,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2008,NC,2249311,1887510,4270315,4271970,2249311,1887510,4271970,100,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2008,NE,317456,455854,792511,792511,317456,455854,792511,93,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2008,NH,358438,314403,694357,694787,358438,314403,694787,10,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2008,NJ,1951218,1461025,3482445,3482445,1951218,1461025,3482445,21,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2008,NM,505128,318522,823650,823650,505128,318522,823650,33,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2008,OK,527736,763375,1346819,1346819,527736,763375,1346819,77,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2008,OR,864392,805159,1762116,1767504,864392,805159,1767504,36,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2008,RI,320644,116174,438051,438812,320644,116174,438812,5,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2008,SC,790621,1076534,1867155,1871431,790621,1076534,1871431,46,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2008,SD,237889,142784,380673,380673,237889,142784,380673,66,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2008,TN,767236,1579477,2424585,2424585,767236,1579477,2424585,95,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2008,TX,3389365,4337469,7912075,7912075,3389365,4337469,7912075,254,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2008,VA,2369327,1228830,3640116,3643294,2369327,1228830,3643294,134,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2008,WV,447560,254629,702308,702308,447560,254629,702308,55,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2008,WY,60631,189046,249677,749450,60631,189046,249946,23,0,0,-0.6664940956701582,ok (<0.05%),ok (<0.05%),BAD (>=2%)
2010,AL,515619,968181,1483800,1485499,515619,968181,1485499,67,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2010,AR,288156,451618,779581,779957,288156,451618,779957,75,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2010,AZ,592011,1005615,1708484,1708484,592011,1005615,1708484,15,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2010,CA,5218137,4217386,9999860,9999860,5218137,4217386,9999860,58,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2010,CO,854685,824789,1777668,1777668,854685,824789,1777668,64,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2010,CT,647315,498341,1153115,1153115,636040,498341,1152391,8,-0.01741810401427435,0,-6.278645234863825e-4,check (0.5-2%),ok (<0.05%),small (<0.5%)
2010,FL,1092936,2645743,5411106,5411106,1092936,2645743,5411106,67,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2010,GA,996516,1489904,2555258,2555258,996516,1489904,2555258,159,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2010,IA,371686,718215,1115191,1116063,371686,718215,1116063,99,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2010,ID,112057,319953,449530,449530,112057,319953,449530,44,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2010,IL,1719478,1778698,3704473,3704473,1719478,1778698,3704473,102,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2010,IN,697775,952116,1744481,1744481,697775,952116,1744481,92,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2010,KS,220971,587175,837692,837692,220971,587175,837692,105,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2010,KY,600052,755706,1356096,1356096,599843,755411,1356468,120,-3.483031470605881e-4,-3.9036344821928104e-4,2.743168625230072e-4,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2010,LA,476572,715415,1264994,1264994,476572,715415,1264994,64,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2010,MD,1140611,655666,1832214,1833858,1140531,655666,1833858,24,-7.013784717138446e-5,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2010,MO,789736,1054160,1943899,1943899,727288,1032294,1857379,115,-0.07907452617077099,-0.02074258177126812,-0.0445084852659526,BAD (>=2%),BAD (>=2%),BAD (>=2%)
2010,NC,1145074,1458046,2658881,2660079,1145074,1458046,2660079,100,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
