"state","year","cty_fips","sample","demovote","repuvote","totalvote","o_dem","o_rep","o_tot","same"
"INDIANA",2018,18005,"HE",0.361831946066062,0.608677639260292,26551,0.361777443042741,0.608661269064206,26555,FALSE
"INDIANA",2018,18011,"HE",0.349229022451745,0.650770977548255,27303,0.349024488451261,0.650389838573886,27319,FALSE
"INDIANA",2018,18021,"HE",0.238672001730291,0.761327998269709,9247,0.238568803372608,0.760998810939358,9251,FALSE
"INDIANA",2018,18023,"HE",0.283364403991666,0.716635596008334,9119,0.281757714534947,0.718024206738633,9171,FALSE
"INDIANA",2018,18031,"HE",0.223596256684492,0.74554367201426,8976,0.223521550283996,0.745628689163604,8979,FALSE
"INDIANA",2018,18033,"HE",0.289026053254863,0.710973946745137,13933,0.288984571223538,0.710871905274489,13935,FALSE
"INDIANA",2018,18035,"HE",0.491215012891736,0.480370006113607,37621,0.490957446808511,0.48063829787234,37600,FALSE
"INDIANA",2018,18037,"HE",0.302187365970222,0.697812634029778,16321,0.302039316553371,0.697470757547921,16329,FALSE
"INDIANA",2018,18041,"HE",0.290140845070423,0.684641180415828,7455,0.290101931330472,0.68468347639485,7456,FALSE
"INDIANA",2018,18043,"HE",0.455953989754549,0.544046010245451,31819,0.455667577499293,0.543704262068532,31839,FALSE
"INDIANA",2018,18053,"HE",0.296342748206492,0.703657251793508,19933,0.296253573398867,0.703445508801846,19939,FALSE
"INDIANA",2018,18055,"HE",0.264000758078272,0.735999241921728,10553,0,1,7765,FALSE
"INDIANA",2018,18061,"HE",0.349382874775006,0.650617125224994,15556,0.348545314109166,0.651454685890834,15536,FALSE
"INDIANA",2018,18063,"HE",0.362946040734901,0.637053959265099,62158,0.362840967575914,0.636869531652084,62176,FALSE
"INDIANA",2018,18069,"HE",0.259670624281884,0.740329375718116,13055,0.259902125707295,0.739792017128001,13078,FALSE
"INDIANA",2018,18073,"HE",0.292508577964163,0.707491422035837,10492,0.292369248356673,0.707154425073831,10497,FALSE
"INDIANA",2018,18075,"HE",0.297529880478088,0.702470119521912,6275,0.297387703090156,0.702134437719019,6278,FALSE
"INDIANA",2018,18077,"HE",0.376377532883043,0.601315321720583,11252,0.376255220830001,0.601261885719364,11253,FALSE
"INDIANA",2018,18079,"HE",0.274432379072063,0.703740265438192,9117,0.274402281202018,0.703663084009651,9118,FALSE
"INDIANA",2018,18083,"HE",0.284769833496572,0.715230166503428,12252,0.284080699175039,0.715674262844074,12243,FALSE
"INDIANA",2018,18087,"HE",0.256279434850863,0.743720565149137,7644,0.256212398639812,0.743526026680617,7646,FALSE
"INDIANA",2018,18093,"HE",0.317461344374717,0.682538655625283,15457,0.317440807348946,0.68242980980722,15458,FALSE
"INDIANA",2018,18099,"HE",0.37080094626563,0.62919905373437,14795,0.370275377969762,0.628307235421166,14816,FALSE
"INDIANA",2018,18103,"HE",0.285282945358917,0.714619655206,10267,0.285060827250608,0.714063260340633,10275,FALSE
"INDIANA",2018,18105,"HE",0.687028060485506,0.312971939514494,51781,0.6870124353132,0.3129875646868,51788,FALSE
"INDIANA",2018,18109,"HE",0.265444942381562,0.734555057618438,24992,0.265338772898168,0.734261259099272,25002,FALSE
"INDIANA",2018,18113,"HE",0.281993287611265,0.718006712388735,13706,0,1,9841,FALSE
"INDIANA",2018,18117,"HE",0.336335449579212,0.663664550420788,6773,0.336138175376439,0.663566578092707,6774,FALSE
"INDIANA",2018,18119,"HE",0.300918727915194,0.699081272084806,7075,0.300748693318265,0.69868625512078,7079,FALSE
"INDIANA",2018,18123,"HE",0.443480733684061,0.556519266315939,7033,0.443480733684061,0.55637707948244,7033,FALSE
"INDIANA",2018,18125,"HE",0.30362062180244,0.69637937819756,5082,0.303518773343818,0.695891488106939,5087,FALSE
"INDIANA",2018,18131,"HE",0.337047353760446,0.662256267409471,4308,0.338718362950996,0.660473882606354,3714,FALSE
"INDIANA",2018,18133,"HE",0.285401028928059,0.714598971071941,11857,0.285256680434966,0.714237545308944,11863,FALSE
"INDIANA",2018,18135,"HE",0.275315672196088,0.67355781133944,8078,0.275315672196088,0.673434018321367,8078,FALSE
"INDIANA",2018,18139,"HE",0.261520545666278,0.706038928630843,6011,0.261477045908184,0.705921490352628,6012,FALSE
"INDIANA",2018,18145,"HE",0.281089342781715,0.69237182159233,14394,0.281030770299368,0.69222754740571,14397,FALSE
"INDIANA",2018,18149,"HE",0.427964413756473,0.572035586243527,7531,0.427434332714248,0.571239055452375,7538,FALSE
"INDIANA",2018,18153,"HE",0.306690430490814,0.693309569509186,7294,0.306606359649123,0.69311951754386,7296,FALSE
"INDIANA",2018,18159,"HE",0.230907899049492,0.769092100950508,6102,0.229589137718215,0.770410862281785,5671,FALSE
"INDIANA",2018,18169,"HE",0.282882400214305,0.717117599785695,11199,0.282831890009821,0.716989554504062,11201,FALSE
"INDIANA",2018,18173,"HE",0.366146607231303,0.633853392768697,24228,0.366010644881792,0.63361802203243,24237,FALSE
"INDIANA",2018,18183,"HE",0.256739505894721,0.743260494105279,13317,0.256700953525039,0.74314888505143,13319,FALSE
