"year","cty_fips","sample","demovote.va","repuvote.va","totalvote.va","demovote.panel","repuvote.panel","totalvote.panel","state","status"
2006,51003,"HE",0.543152282572476,0.447239808952571,36012,0.543091237328149,0.447298986251909,36005,NA,"differs"
2006,51007,"HE",0,0.822082679225536,3822,0,0.823735284759784,3143,NA,"differs"
2006,51009,"HE",0,0.708423559982676,9236,0,0.708468702620749,9234,NA,"differs"
2006,51013,"HE",0.684238852931841,0.278307550060031,72463,0.684193085165139,0.278346956809897,72424,NA,"differs"
2006,51019,"HE",0.151720478386873,0.760724927548063,24499,0.15172920664734,0.76072843085215,24491,NA,"differs"
2006,51023,"HE",0,0.803293316028553,12328,0,0.80322947095099,12324,NA,"differs"
2006,51027,"HE",0.803456026973869,0.196262995223377,7118,0.803568919488549,0.196150063228889,7117,NA,"differs"
2006,51029,"HE",0.400045485558335,0.589720263816238,4397,0.400227531285552,0.589533560864619,4395,NA,"differs"
2006,51031,"HE",0.274433918669131,0.714648798521257,17312,0.274423710208562,0.714657114795771,17309,NA,"differs"
2006,51035,"HE",0.562121712336305,0.437658193023,9087,0.562183579132732,0.437596302003082,9086,NA,"differs"
2006,51041,"HE",0.185812881919038,0.693871497221508,101134,0.185781971769687,0.693888048112209,101097,NA,"differs"
2006,51043,"HE",0.368836671802774,0.606895223420647,5192,0.368715083798883,0.607012136389906,5191,NA,"differs"
2006,51047,"HE",0.32046366473473,0.660276415514935,11215,0.320513964486482,0.660212367270456,11207,NA,"differs"
2006,51059,"HE",0.50345038293522,0.481852072726845,340397,0.503453018378874,0.481847408913783,340282,NA,"differs"
2006,51061,"HE",0.345697463768116,0.637635869565217,22080,0.345669505345171,0.637660808117413,22076,NA,"differs"
2006,51065,"HE",0.417710944026733,0.571786609380594,8379,0.41776080210074,0.571735497732156,8378,NA,"differs"
2006,51069,"HE",0.303053041316888,0.679125826572246,21323,0.303067254478942,0.6791107776006,21322,NA,"differs"
2006,51071,"HE",0.728009871320289,0.27181385510312,5673,0.728138222849083,0.271685472496474,5672,NA,"differs"
2006,51073,"HE",0.285653937140926,0.69905373436972,11836,0.285702213959777,0.699087375359135,11834,NA,"differs"
2006,51075,"HE",0.312535515399477,0.669962495738152,8799,0.312379220188701,0.670114811867682,8797,NA,"differs"
2006,51085,"HE",0.250476386671473,0.735489519493228,38834,0.250489287185826,0.735475896168109,38832,NA,"differs"
2006,51087,"HE",0.476530717604543,0.505699535363965,96850,0.476491974632816,0.505742733789171,96818,NA,"differs"
2006,51089,"HE",0.414252536364748,0.581713726928248,16362,0.414216734918403,0.581749281828739,16361,NA,"differs"
2006,51093,"HE",0,0.753731979868634,11723,0,0.753668941979522,11720,NA,"differs"
2006,51095,"HE",0.363749659228103,0.622346847373136,25677,0.363707195449764,0.622423935486384,25669,NA,"differs"
2006,51101,"HE",0.27580372250423,0.717992103778906,5319,0.275907466616513,0.717886025954486,5317,NA,"differs"
2006,51103,"HE",0.347467608951708,0.638201806046329,5094,0.347339485568427,0.63832711564893,5093,NA,"differs"
2006,51105,"HE",0.736834297581961,0.262869010532562,6741,0.736943620178041,0.262759643916914,6740,NA,"differs"
2006,51107,"HE",0.408672652088068,0.572936457673633,80529,0.408749239007542,0.572862698323953,80487,NA,"differs"
2006,51109,"HE",0.35718802698145,0.622681281618887,9488,0.357022353437368,0.622838464782792,9484,NA,"differs"
2006,51117,"HE",0.352299952084332,0.641590800191663,8348,0.35243346919204,0.641452888995445,8342,NA,"differs"
2006,51121,"HE",0.707463422653296,0.291303633075785,24332,0.707485509927241,0.29128129239117,24327,NA,"differs"
2006,51133,"HE",0.331807780320366,0.657513348588863,5244,0.331680335685676,0.657638756437154,5243,NA,"differs"
2006,51143,"HE",0.29516967288291,0.695047386120452,19626,0.295184713375796,0.695082802547771,19625,NA,"differs"
2006,51145,"HE",0,0.826790084051495,9399,0,0.826804343197786,9394,NA,"differs"
2006,51153,"HE",0.426039364759495,0.56069020002977,87337,0.426016316054815,0.560726889408314,87276,NA,"differs"
2006,51155,"HE",0.683478260869565,0.315881006864989,10925,0.683449285975833,0.31590992310509,10924,NA,"differs"
2006,51161,"HE",0.110395273596849,0.706822337881559,35545,0.110413911477532,0.706772841104139,35539,NA,"differs"
2006,51165,"HE",0,0.816150823435913,22649,0,0.816186859766867,22648,NA,"differs"
2006,51167,"HE",0.749591979482397,0.250174865936116,8578,0.749562784190276,0.250204034044538,8577,NA,"differs"
2006,51171,"HE",0,0.746361268576682,13054,0,0.746360153256705,13050,NA,"differs"
2006,51177,"HE",0.339915373765867,0.639473009360174,31196,0.339926270235615,0.639461452155794,31195,NA,"differs"
2006,51179,"HE",0.353155000466027,0.63022338211079,32187,0.353089259075087,0.630283441074093,32176,NA,"differs"
2006,51185,"HE",0.712813582228229,0.286848551397922,11839,0.712849539579285,0.286812536960378,11837,NA,"differs"
2006,51199,"HE",0.30499230261711,0.679480976468001,22735,0.30495798689015,0.67951255994017,22731,NA,"differs"
2006,51510,"HE",0.675309554197174,0.293656657934216,44661,0.675301974318177,0.293637810097932,44623,NA,"differs"
2006,51515,"HE",0.376227390180879,0.610852713178295,1935,0.15172920664734,0.76072843085215,24491,NA,"differs"
2006,51540,"HE",0.746089456328739,0.243510611313097,11827,0.746023688663283,0.243570219966159,11820,NA,"differs"
2006,51550,"HE",0,0.757854596700655,60315,0,0.757841137151482,60291,NA,"differs"
2006,51600,"HE",0.445576540755467,0.543364811133201,8048,0.445425161611139,0.543510691198409,8044,NA,"differs"
2006,51610,"HE",0.674984906419803,0.296236667337492,4969,0.674919484702093,0.296296296296296,4968,NA,"differs"
2006,51630,"HE",0.482705904834703,0.49914007261609,5233,0.48249473885594,0.499330399846949,5227,NA,"differs"
2006,51650,"HE",0.66442557522835,0.317386762381807,37333,0.664434384291875,0.317376978918325,37331,NA,"differs"
2006,51660,"HE",0,0.666621382964271,7361,0,0.666576086956522,7360,NA,"differs"
2006,51700,"HE",0.637001325780403,0.319103290345908,41485,0.63695987654321,0.319130979938272,41472,NA,"differs"
2006,51710,"HE",0.747733695037866,0.235921781394823,44235,0.747692934045056,0.235999276214602,44212,NA,"differs"
2006,51730,"HE",0,0.648125962690399,5843,0,0.64806573091407,5842,NA,"differs"
