"state","year","cty_fips","sample","demovote","repuvote","totalvote","o_dem","o_rep","o_tot","same"
"ILLINOIS",2018,17005,"HE",0.344117198229818,0.655882801770182,6553,0.344064693317058,0.655782728104974,6554,FALSE
"ILLINOIS",2018,17013,"HE",0.359167404782994,0.640832595217006,2258,0.359008410801239,0.640548915449314,2259,FALSE
"ILLINOIS",2018,17023,"HE",0.298867552929591,0.700311833251272,6093,0.298328964613368,0.699049803407602,6104,FALSE
"ILLINOIS",2018,17031,"HE",0.793253665749751,0.198003871252164,1742072,0.791387939037178,0.197538167621991,1746179,FALSE
"ILLINOIS",2018,17039,"HE",0.293234296786695,0.706765703213305,6193,0.292761566983718,0.705626309850073,6203,FALSE
"ILLINOIS",2018,17043,"HE",0.582121697225752,0.417867300403237,363558,0.581630549791818,0.417514737608729,363865,FALSE
"ILLINOIS",2018,17061,"HE",0.309027777777778,0.690972222222222,4320,0.308741905642923,0.690333024976873,4324,FALSE
"ILLINOIS",2018,17083,"HE",0.320119499023325,0.679880500976675,8703,0.319788797061524,0.679178145087236,8712,FALSE
"ILLINOIS",2018,17115,"HE",0.414474187868426,0.585525812131574,39187,0.413661369193154,0.584377546862266,39264,FALSE
"ILLINOIS",2018,17117,"HE",0.390611111111111,0.609388888888889,18000,0.390112633856739,0.608611218997947,18023,FALSE
"ILLINOIS",2018,17119,"HE",0.457586193627828,0.527358780975835,103952,0.457317835270591,0.527049503427456,104013,FALSE
"ILLINOIS",2018,17135,"HE",0.347486621633477,0.652513378366523,11399,0.347182049259357,0.651941449732667,11409,FALSE
"ILLINOIS",2018,17147,"HE",0.345456932773109,0.654543067226891,7616,0.34446190102121,0.652657763812516,7638,FALSE
"ILLINOIS",2018,17167,"HE",0.426085536674403,0.573879474230532,85741,0.425683391205052,0.573337838782597,85822,FALSE
"ILLINOIS",2018,17197,"HE",0.562611752151547,0.418929541668533,245521,0.56120143984269,0.417879400986438,246138,FALSE
"ILLINOIS",2018,17201,"HE",0.509263131482101,0.490715958514553,95648,0.508954506509519,0.490418573548158,95706,FALSE
