year,state_po,check,official,ours,diff,rel,n_counties,status
2004,SC,state_total,1617730,1617730,0,0,46,ok (<0.05%)
2004,SD,state_total,388215,388215,0,0,66,ok (<0.05%)
2004,TN,state_total,2437319,2430494,-6825,-0.002800207933389105,95,small (<0.5%)
2004,TX,state_total,7410765,7410749,-16,-2.1590213695886997e-6,254,ok (<0.05%)
2004,UT,state_total,927844,927844,0,0,29,ok (<0.05%)
2004,VT,state_total,312309,312309,0,0,14,ok (<0.05%)
2004,VA,state_total,3198367,3198367,0,0,134,ok (<0.05%)
2004,WA,state_total,2859084,2859084,0,0,39,ok (<0.05%)
2004,WV,state_total,755887,755659,-228,-3.0163238685147384e-4,55,ok (<0.05%)
2004,WI,state_total,2997007,2997007,0,0,72,ok (<0.05%)
2004,WY,state_total,243428,243428,0,0,23,ok (<0.05%)
2008,AL,state_total,2099819,2099819,0,0,67,ok (<0.05%)
2008,AZ,state_total,2293475,2293475,0,0,15,ok (<0.05%)
2008,AR,state_total,1086617,1086617,0,0,75,ok (<0.05%)
2008,CA,state_total,13561900,13561900,0,0,58,ok (<0.05%)
2008,CO,state_total,2401462,2401361,-101,-4.205771317639005e-5,64,ok (<0.05%)
2008,CT,state_total,1646797,1647085,288,1.7488494331723947e-4,8,ok (<0.05%)
2008,DE,state_total,412412,412412,0,0,3,ok (<0.05%)
2008,FL,state_total,8390744,8391639,895,1.0666515388861822e-4,67,ok (<0.05%)
2008,GA,state_total,3924486,3925278,792,2.0180986758520735e-4,159,ok (<0.05%)
2008,ID,state_total,655122,655032,-90,-1.3737899200454268e-4,44,ok (<0.05%)
2008,IL,state_total,5522371,5523051,680,1.231355155240385e-4,102,ok (<0.05%)
2008,IN,state_total,2751054,2751054,0,0,92,ok (<0.05%)
2008,IA,state_total,1537123,1536820,-303,-1.9712150556591763e-4,99,ok (<0.05%)
2008,KS,state_total,1235872,1235872,0,0,105,ok (<0.05%)
2008,KY,state_total,1826620,1826508,-112,-6.131543506585935e-5,120,ok (<0.05%)
2008,LA,state_total,1960761,1959085,-1676,-8.547701632172406e-4,64,small (<0.5%)
2008,ME,state_total,731163,731163,0,0,16,ok (<0.05%)
2008,MD,state_total,2631596,2631596,0,0,24,ok (<0.05%)
2008,MA,state_total,3080985,3081336,351,1.1392460528045414e-4,14,ok (<0.05%)
2008,MI,state_total,5001766,5001766,0,0,83,ok (<0.05%)
2008,MN,state_total,2910369,2910369,0,0,87,ok (<0.05%)
2008,MS,state_total,1289865,1285259,-4606,-0.003570916336205727,82,small (<0.5%)
2008,MO,state_total,2925205,2925205,0,0,116,ok (<0.05%)
2008,MT,state_total,490302,496072,5770,0.01176825711500259,56,check (0.5-2%)
2008,NE,state_total,801281,801281,0,0,93,ok (<0.05%)
2008,NV,state_total,967848,967848,0,0,17,ok (<0.05%)
2008,NH,state_total,710970,710970,0,0,10,ok (<0.05%)
2008,NJ,state_total,3868237,3838498,-29739,-0.007687998434428914,21,check (0.5-2%)
2008,NM,state_total,830158,830158,0,0,33,ok (<0.05%)
2008,NY,state_total,7640931,7591233,-49698,-0.006504181231318539,62,check (0.5-2%)
2008,NC,state_total,4310789,4310789,0,0,100,ok (<0.05%)
2008,ND,state_total,316621,316621,0,0,53,ok (<0.05%)
2008,OH,state_total,5708350,5698048,-10302,-0.0018047246577382256,88,small (<0.5%)
2008,OK,state_total,1462661,1462661,0,0,77,ok (<0.05%)
2008,OR,state_total,1827864,1827864,0,0,36,ok (<0.05%)
2008,PA,state_total,6013272,5977981,-35291,-0.005868851433961411,67,check (0.5-2%)
2008,RI,state_total,471766,471766,0,0,5,ok (<0.05%)
2008,SC,state_total,1920969,1920969,0,0,46,ok (<0.05%)
2008,SD,state_total,381975,377708,-4267,-0.011170888147130048,66,check (0.5-2%)
2008,TN,state_total,2599749,2600124,375,1.442446943916509e-4,95,ok (<0.05%)
2008,TX,state_total,8077795,8077795,0,0,254,ok (<0.05%)
2008,UT,state_total,952370,952370,0,0,29,ok (<0.05%)
2008,VT,state_total,325046,325046,0,0,14,ok (<0.05%)
2008,VA,state_total,3723260,3723260,0,0,134,ok (<0.05%)
2008,WA,state_total,3036878,3036878,0,0,39,ok (<0.05%)
2008,WV,state_total,713451,713451,0,0,55,ok (<0.05%)
2008,WI,state_total,2983417,2983417,0,0,72,ok (<0.05%)
2008,WY,state_total,254658,256035,1377,0.005407252079259242,23,check (0.5-2%)
2012,AL,state_total,2074338,2070353,-3985,-0.0019210948263976267,67,small (<0.5%)
2012,AZ,state_total,2299254,2299254,0,0,15,ok (<0.05%)
2012,AR,state_total,1069468,1069468,0,0,75,ok (<0.05%)
2012,CA,state_total,13038547,13038547,0,0,58,ok (<0.05%)
