"state","year","cty_fips","sample","demovote","repuvote","totalvote","o_dem","o_rep","o_tot","same"
"ILLINOIS",2020,17007,"HE",0.356081273667495,0.643878008062218,24559,0.355458905780018,0.64275262173807,24602,FALSE
"ILLINOIS",2020,17011,"HE",0.332504337767496,0.667495662232504,17290,0.332177731553707,0.666840006933611,17307,FALSE
"ILLINOIS",2020,17031,"HE",0.748687832825852,0.222288729291701,2247046,0.748353461889193,0.22218945308156,2248050,FALSE
"ILLINOIS",2020,17037,"HE",0.501365859856426,0.498591787899964,47223,0.501387094724805,0.498612905275195,47221,FALSE
"ILLINOIS",2020,17043,"HE",0.601655634204494,0.332341905072019,457589,0.601474241196172,0.332241707393272,457727,FALSE
"ILLINOIS",2020,17053,"HE",0.200352009386917,0.799501320035201,6818,0.200263890925084,0.799149684796951,6821,FALSE
"ILLINOIS",2020,17057,"HE",0.478516810292511,0.521422502730914,16478,0.477734019993941,0.52056952438655,16505,FALSE
"ILLINOIS",2020,17063,"HE",0.304875239923225,0.695124760076775,26050,0.304594615325612,0.694484927513999,26074,FALSE
"ILLINOIS",2020,17075,"HE",0.158050755549129,0.841949244450871,13831,0.1578795319948,0.841037122634696,13846,FALSE
"ILLINOIS",2020,17095,"HE",0.503640670234231,0.496359329765769,22798,0.503530237249485,0.496250493356137,22803,FALSE
"ILLINOIS",2020,17097,"HE",0.600231963757934,0.398135810843549,330224,0.599572880966281,0.397698639087441,330587,FALSE
"ILLINOIS",2020,17099,"HE",0.382487684256934,0.617493147271368,52169,0.382495016101825,0.617504983898175,52168,FALSE
"ILLINOIS",2020,17103,"HE",0.338380304090591,0.661619695909409,15719,0.338165172611101,0.661199059062877,15729,FALSE
"ILLINOIS",2020,17105,"HE",0.20322313070269,0.79677686929731,16878,0.202910553715097,0.795551348793185,16904,FALSE
"ILLINOIS",2020,17111,"HE",0.478663137322811,0.513896791430621,161692,0.478296336579819,0.513502991051565,161816,FALSE
"ILLINOIS",2020,17141,"HE",0.295724921329342,0.704198326809425,26058,0.295747620509671,0.704252379490328,26056,FALSE
"ILLINOIS",2020,17155,"HE",0.359459459459459,0.640540540540541,3330,0.359351546082258,0.640348243770639,3331,FALSE
"ILLINOIS",2020,17161,"HE",0.567451884673931,0.432457687148649,66351,0.566717341240574,0.431897888224935,66437,FALSE
"ILLINOIS",2020,17179,"HE",0.319249237415532,0.680736167666419,68517,0.319151419650413,0.680527590533718,68538,FALSE
"ILLINOIS",2020,17187,"HE",0.434237461617196,0.565762538382805,7816,0.43379345603272,0.565184049079755,7824,FALSE
"ILLINOIS",2020,17197,"HE",0.533768007140788,0.466016232288422,338338,0.533883198084342,0.466116801915658,338265,FALSE
"ILLINOIS",2020,17201,"HE",0.455978534294818,0.544021465705182,125223,0.455701960909504,0.543691489956025,125299,FALSE
