"sample","st","year","rows","mean_dem_old","mean_dem_new","mean_rep_old","mean_rep_new","median_total_ratio"
"HE",34,2024,12,0.048,0.531,0.045,0.444,1
"HE",36,2024,2,0.407,0.407,0,0.571,1
"HE",38,2020,53,0,0.22,0.751,0.751,1
"HE",41,2024,30,0.231,0.384,0.424,0.575,0.956
"SE",27,2020,87,0,0.369,0.557,0.557,1
"SE",34,2024,9,0.065,0.582,0.059,0.39,1
"SE",36,2024,2,0.456,0.456,0,0.515,1
"SE",38,2022,53,0,0.185,0.616,0.616,1
