year,state_po,district,off_total,off_dem,off_rep,our_dem,our_rep,our_total,n_counties,rel_tot,rel_dem,rel_rep,status_tot
2002,AZ,02,167502,74391,138928,61217,100359,167502,6,0,-0.17709131480958717,-0.277618622595877,ok (<0.05%)
2002,AZ,03,155751,47173,104847,47173,104847,155751,1,0,0,0,ok (<0.05%)
2002,AZ,04,66065,44517,20294,44517,18381,66065,1,0,0,-0.09426431457573667,ok (<0.05%)
2002,AZ,05,169812,70029,103870,61559,103870,169812,1,0,-0.1209498921875223,0,ok (<0.05%)
2002,AZ,06,156337,49355,103094,49355,103094,156337,2,0,0,0,ok (<0.05%)
2002,CA,02,178985,68797,126733,52455,117747,178985,10,0,-0.23753942759131938,-0.07090497344811533,ok (<0.05%)
2002,CA,03,194918,67136,121732,67136,121732,194918,5,0,0,0,ok (<0.05%)
2002,CA,04,228506,72860,147997,72860,148398,228506,9,0,0,0.0027095143820482846,ok (<0.05%)
2002,CA,05,131578,92726,34749,92726,34749,131578,1,0,0,0,ok (<0.05%)
2002,CA,06,209563,156520,64877,139750,62052,209563,2,0,-0.10714285714285714,-0.04354393698845507,ok (<0.05%)
2002,CA,07,138376,97849,36584,97849,36584,138376,2,0,0,0,ok (<0.05%)
2002,CA,08,160441,132582,22879,127684,20063,160441,1,0,-0.036943174789941316,-0.12308230254818829,ok (<0.05%)
2002,CA,09,166917,148150,25333,135893,25333,166917,1,0,-0.08273371582855214,0,ok (<0.05%)
2002,CA,10,167197,136257,0,126390,0,167197,4,0,-0.07241462823928312,NA,ok (<0.05%)
2002,CA,11,173956,82991,112903,69035,104921,173956,4,0,-0.1681628128351267,-0.07069785568142564,ok (<0.05%)
2002,CA,12,154984,105597,38381,105597,38381,154984,2,0,0,0,ok (<0.05%)
2002,CA,13,121723,86495,28753,86495,26852,121723,1,0,0,-0.0661148401905888,ok (<0.05%)
2002,CA,14,171678,117055,48346,117055,48346,171678,3,0,0,0,ok (<0.05%)
2002,CA,15,133022,87482,41251,87482,41251,133022,1,0,0,0,ok (<0.05%)
2002,CA,16,107986,72370,32182,72370,32182,107986,1,0,0,0,ok (<0.05%)
2002,CA,17,149296,106640,52994,101632,40334,149296,3,0,-0.04696174043510878,-0.23889496924180095,ok (<0.05%)
2002,CA,18,109593,76286,61805,56181,47528,109593,5,0,-0.26354770206853156,-0.23100072809643232,ok (<0.05%)
2002,CA,19,157802,47403,106209,47403,106209,157802,5,0,0,0,ok (<0.05%)
2002,CA,27,128811,79815,48996,79815,48996,128811,1,0,0,0,ok (<0.05%)
2002,CA,28,103326,73771,23926,73771,23926,103326,1,0,0,0,ok (<0.05%)
2002,CA,29,121541,76036,40616,76036,40616,121541,1,0,0,0,ok (<0.05%)
2002,CA,30,185593,136750,54989,130604,54989,185593,1,0,-0.044943327239488115,0,ok (<0.05%)
2002,CA,31,67243,54569,15002,54569,12674,67243,1,0,0,-0.15517930942540994,ok (<0.05%)
2002,CA,32,85079,58530,23366,58530,23366,85079,1,0,0,0,ok (<0.05%)
2002,CA,33,118449,97779,16699,97779,16699,118449,1,0,0,0,ok (<0.05%)
2002,CA,34,65824,48734,17090,48734,17090,65824,1,0,0,0,ok (<0.05%)
2002,KS,05,172462,91313,166431,NA,NA,NA,NA,NA,NA,NA,MISSING
2002,MA,08,112356,111861,0,111861,0,112356,2,0,0,NA,ok (<0.05%)
2002,MA,09,168976,184698,0,168055,0,168976,4,0,-0.09010925943973405,NA,ok (<0.05%)
2002,MA,10,259002,179238,79624,179238,79624,259002,5,0,0,0,ok (<0.05%)
2002,OK,04,197774,128205,14737,91322,106452,197774,16,0,-0.2876876876876877,6.223451177308815,ok (<0.05%)
2002,OK,05,195051,63208,121374,63208,121374,195051,3,0,0,0,ok (<0.05%)
2002,OR,01,238036,149215,80917,137874,75434,220157,4,-0.07511048748928734,-0.07600442314780685,-0.06776079192258734,BAD (>=2%)
2002,OR,02,252284,80770,181295,28228,83680,114433,8,-0.5464119801493554,-0.6505138046304321,-0.5384318376127306,BAD (>=2%)
2002,OR,03,234977,166843,62821,156851,62821,234459,2,-0.002204471075892534,-0.059888637821185184,0,small (<0.5%)
2002,OR,04,263481,168150,90523,163343,85972,253500,6,-0.037881289352932467,-0.028587570621468928,-0.0502745158688952,BAD (>=2%)
2002,OR,05,251537,137713,133712,129589,106447,236036,6,-0.06162512870869892,-0.05899225200235272,-0.2039084001435922,BAD (>=2%)
2002,PA,01,140090,121076,17444,121076,17444,140090,2,0,0,0,ok (<0.05%)
2002,PA,02,171611,150623,20988,150623,20988,171611,2,0,0,0,ok (<0.05%)
2002,PA,03,150329,0,116763,0,116763,150317,7,-7.982491734795017e-5,NA,0,ok (<0.05%)
2002,PA,04,202218,97308,130534,71674,130534,202208,6,-4.9451581956106776e-5,-0.26343157808196654,0,ok (<0.05%)
2002,PA,05,143211,0,124942,0,124942,143020,16,-0.0013336964339331475,NA,0,small (<0.5%)
2002,PA,06,201791,116540,103648,98128,103648,201776,3,-7.433433602093255e-5,-0.15798867341685258,0,ok (<0.05%)
2002,PA,07,221351,75055,146296,75055,146296,221351,3,0,0,0,ok (<0.05%)
2002,PA,08,203687,76178,141456,76178,127475,203653,3,-1.6692277857693422e-4,0,-0.09883638728650605,ok (<0.05%)
2002,PA,11,168615,93758,74847,93758,71543,168605,5,-5.930670462295763e-5,0,-0.044143385840447844,ok (<0.05%)
2002,PA,12,169028,158038,44818,124201,44818,169019,9,-5.32456161109402e-5,-0.2141067338235108,0,ok (<0.05%)
2002,PA,13,211867,107945,116479,107945,100295,211867,2,0,0,-0.13894350054516263,ok (<0.05%)
2002,PA,14,123412,123323,0,123323,0,123323,1,-7.21161637442064e-4,0,NA,small (<0.5%)
2002,TN,04,184300,132768,120743,95989,85680,184300,24,0,-0.27701705230175944,-0.29039364600846423,ok (<0.05%)
2002,TN,05,170886,146115,70801,108903,56825,170886,3,0,-0.25467611128220924,-0.19739834183133007,ok (<0.05%)
2002,TN,06,177547,123289,57401,117034,57401,177547,15,0,-0.050734453195337786,0,ok (<0.05%)
2002,TN,07,195558,61052,192538,51790,138314,195558,15,0,-0.15170674179388063,-0.2816275228786006,ok (<0.05%)
2002,TN,08,167970,127880,60384,117811,45853,167970,19,0,-0.07873787926180795,-0.24064321674615793,ok (<0.05%)
2002,TN,09,144260,120904,0,120904,0,144260,1,0,0,NA,ok (<0.05%)
2002,TX,01,153038,86384,66654,86384,66654,153038,19,0,0,0,ok (<0.05%)
2002,TX,02,140501,85492,53656,85492,53656,140501,18,0,0,0,ok (<0.05%)
2002,TX,03,154133,37503,117158,37503,113974,154133,2,0,0,-0.02717697468376039,ok (<0.05%)
2002,TX,04,168285,97304,77566,97304,67939,168285,11,0,0,-0.12411365804605111,ok (<0.05%)
2002,TX,15,66311,73449,0,66311,0,66311,8,0,-0.09718307941564895,NA,ok (<0.05%)
2002,TX,16,72383,72383,0,72383,0,72383,1,0,0,NA,ok (<0.05%)
2002,TX,17,163804,84136,77622,84136,77622,163804,36,0,0,0,ok (<0.05%)
2002,TX,18,128926,101032,27980,99161,27980,128926,1,0,-0.018518885105709083,0,ok (<0.05%)
2002,TX,19,127776,0,117092,0,117092,127776,19,0,NA,0,ok (<0.05%)
2002,TX,20,68685,68685,0,68685,0,68685,1,0,0,NA,ok (<0.05%)
2002,TX,21,222093,56206,161836,56206,161836,222093,14,0,0,0,ok (<0.05%)
2002,TX,22,159084,60032,106144,55716,100499,159084,3,0,-0.0718949893390192,-0.053182469098583054,ok (<0.05%)
2002,TX,23,150552,71067,77573,71067,77573,150552,24,0,0,0,ok (<0.05%)
2002,TX,24,112894,73002,38332,73002,38332,112894,2,0,0,0,ok (<0.05%)
2002,TX,25,116126,79227,50041,63590,50041,116126,2,0,-0.19736958360154996,0,ok (<0.05%)
2002,TX,26,164678,37485,140051,37485,123195,164678,4,0,0,-0.12035615597175314,ok (<0.05%)
2002,TX,27,112209,68559,41004,68559,41004,112209,5,0,0,0,ok (<0.05%)
2002,TX,28,100420,71393,26973,71393,26973,100420,11,0,0,0,ok (<0.05%)
2002,TX,29,58593,55760,0,55760,0,58593,1,0,0,NA,ok (<0.05%)
2002,TX,30,119817,88980,30277,88980,28981,119817,1,0,0,-0.04280476929682597,ok (<0.05%)
2002,TX,31,161484,44183,134575,44183,111556,161484,9,0,0,-0.17104960059446406,ok (<0.05%)
2002,TX,32,147902,48458,101617,44886,100226,147902,1,0,-0.07371331875025795,-0.013688654457423463,ok (<0.05%)
2002,UT,01,179412,0,0,NA,NA,NA,NA,NA,NA,NA,MISSING
2002,UT,02,224098,110764,129828,NA,NA,NA,NA,NA,NA,NA,MISSING
2002,UT,03,153643,44533,103598,NA,NA,NA,NA,NA,NA,NA,MISSING
2002,WA,NA,193329,339861,281998,NA,NA,NA,NA,NA,NA,NA,MISSING
2002,WA,04,161829,60914,114757,NA,NA,NA,NA,NA,NA,NA,MISSING
2002,WA,05,202282,65146,126757,NA,NA,NA,NA,NA,NA,NA,MISSING
2002,WA,06,196444,135874,61584,NA,NA,NA,NA,NA,NA,NA,MISSING
2002,WA,07,211003,156300,46256,NA,NA,NA,NA,NA,NA,NA,MISSING
2002,WA,08,203335,75931,121633,NA,NA,NA,NA,NA,NA,NA,MISSING
2002,WA,09,163710,95805,63146,NA,NA,NA,NA,NA,NA,NA,MISSING
2002,WI,NA,141367,518245,302316,NA,NA,NA,NA,NA,NA,NA,MISSING
2002,WI,05,222012,0,191224,0,191224,222012,5,0,NA,0,ok (<0.05%)
2002,WI,06,171161,0,169834,0,169834,171161,12,0,NA,0,ok (<0.05%)
2002,WI,07,227955,146364,81518,146364,81518,227955,20,0,0,0,ok (<0.05%)
2002,WI,08,210447,50284,152745,50284,152745,210447,15,0,0,0,ok (<0.05%)
