year,state_po,district,off_total,off_dem,off_rep,our_dem,our_rep,our_total,n_counties,rel_tot,rel_dem,rel_rep,status_tot
1990,IA,03,101780,100947,0,NA,NA,NA,NA,NA,NA,NA,MISSING
1990,IA,04,130590,127812,0,NA,NA,NA,NA,NA,NA,NA,MISSING
1990,IA,05,147012,47022,99978,NA,NA,NA,NA,NA,NA,NA,MISSING
1990,IA,06,156459,44063,112333,NA,NA,NA,NA,NA,NA,NA,MISSING
1990,KS,01,164388,61396,102974,61396,102974,164370,58,-1.0949704357982334e-4,0,0,ok (<0.05%)
1990,KS,02,157745,99093,58643,99093,58643,157736,13,-5.705410631081809e-5,0,0,ok (<0.05%)
1990,KS,03,147726,58923,88725,58923,88725,147648,4,-5.28004548962268e-4,0,0,small (<0.5%)
1990,KS,04,158316,112015,46283,112015,46283,158298,5,-1.1369665731827485e-4,0,0,ok (<0.05%)
1990,KS,05,152823,62244,90555,62244,90555,152799,25,-1.5704442394142242e-4,0,0,ok (<0.05%)
1990,KY,01,98202,0,0,85323,0,98202,24,0,NA,NA,ok (<0.05%)
1990,KY,02,116681,0,39624,77057,39624,116681,18,0,NA,0,ok (<0.05%)
1990,KY,03,139938,84750,55188,84750,55188,139938,1,0,0,0,ok (<0.05%)
1990,KY,04,146659,44979,101680,44979,101680,146659,12,0,0,0,ok (<0.05%)
1990,KY,07,120707,61330,0,61330,59377,120707,23,0,0,NA,ok (<0.05%)
