"year","cty_fips","sample","state_fips","demovote","repuvote","totalvote"
2020,4001,"SE",4,0.685146145518774,0.314853854481226,35102
2020,4003,"SE",4,0.413657025825466,0.586342974174534,60057
2020,4005,"SE",4,0.625700395517469,0.374299604482531,72816
2020,4007,"SE",4,0.35036496350365,0.64963503649635,27537
2020,4009,"SE",4,0.304274427712877,0.695725572287123,14809
2020,4011,"SE",4,0.386714443219405,0.613285556780595,3628
2020,4012,"SE",4,0.34011191483554,0.65988808516446,7327
2020,4013,"SE",4,0.51957264452438,0.48042735547562,2048599
2020,4015,"SE",4,0.266743210765473,0.733256789234527,102773
2020,4017,"SE",4,0.475111007244683,0.524888992755317,51348
2020,4019,"SE",4,0.598579945358683,0.401420054641317,516459
2020,4021,"SE",4,0.431934571581442,0.568065428418558,183162
2020,4023,"SE",4,0.706565500154847,0.293434499845153,19374
2020,4025,"SE",4,0.365072659682325,0.634927340317675,142032
2020,4027,"SE",4,0.491440561464438,0.508559438535562,69105
