cty_fips,totalvote,o_tot,status
18001,9161,NA,missing in old data
18003,88011,84192,old differs
18005,20592,11969,old differs
18007,2536,NA,missing in old data
18009,3819,NA,missing in old data
18011,14052,14052,identical
18013,6101,6101,identical
18015,6375,NA,missing in old data
18017,11004,NA,missing in old data
18019,33397,33397,identical
18021,8214,8214,identical
18023,7686,7686,identical
18025,3970,3970,identical
18027,7651,7651,identical
18029,13065,4215,old differs
18031,6685,6685,identical
18033,10523,10523,identical
18035,33441,33441,identical
18037,12539,NA,missing in old data
18039,44208,18658,old differs
18041,6590,6590,identical
18043,25323,25323,identical
18045,5483,1841,old differs
18047,6859,6859,identical
18049,6944,6944,identical
18051,11964,11964,identical
18053,18533,18533,identical
18055,10261,10261,identical
18057,58595,58595,identical
18059,17560,NA,missing in old data
18061,13545,13545,identical
18063,31183,31183,identical
18065,14895,14895,identical
18067,26843,17695,old differs
18069,9282,NA,missing in old data
18071,13770,13770,identical
18073,7093,NA,missing in old data
18075,6249,NA,missing in old data
18077,10332,NA,missing in old data
18079,9543,NA,missing in old data
18081,30462,NA,missing in old data
18083,12376,12376,identical
18085,18542,18542,identical
18087,6600,6600,identical
18089,97688,97688,identical
18091,30037,30037,identical
18093,12535,NA,missing in old data
18095,39259,NA,missing in old data
18097,200282,188227,old differs
18099,13476,13476,identical
18101,3894,3894,identical
18103,8961,NA,missing in old data
18105,33496,25729,old differs
18107,9273,9273,identical
18109,15704,15704,identical
18111,4201,NA,missing in old data
18113,11496,11496,identical
18115,2361,NA,missing in old data
18117,5887,5887,identical
18119,5816,5816,identical
18121,5607,5607,identical
18123,6490,NA,missing in old data
18125,5098,5098,identical
18127,41599,38089,old differs
18129,10129,10129,identical
18131,4616,4616,identical
18133,9186,NA,missing in old data
18135,7810,7810,identical
18137,8433,NA,missing in old data
18139,5242,5242,identical
18141,79674,79674,identical
18143,6512,6512,old differs
18145,11375,1449,old differs
18147,7720,NA,missing in old data
18149,7049,7049,identical
18151,9070,9070,identical
18153,7078,7078,identical
18155,2707,NA,missing in old data
18157,33573,33573,identical
18159,5826,5826,identical
18161,2477,2477,identical
18163,55405,55405,identical
18165,5541,5541,identical
18167,29641,29641,identical
18169,7714,NA,missing in old data
18171,2971,NA,missing in old data
18173,20249,20249,identical
18175,9017,9017,old differs
18177,16352,16352,identical
18179,9064,NA,missing in old data
18181,7669,6299,old differs
18183,9805,9805,identical
