year,state_po,district,off_dem,off_rep,off_sum,off_total,our_dem,our_rep,our_total,n_counties,rel_dem,rel_rep,rel_tot,s_dem,s_rep,s_tot
2004,CA,30,216682,87465,304147,304147,216682,87465,304147,1,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CA,31,89363,22048,111411,111411,89363,22048,111411,1,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CA,32,119144,0,140146,140146,119144,0,140146,1,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CA,33,166801,0,188314,188314,166801,0,188314,1,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CA,34,82282,28175,110457,110457,82282,28175,110457,1,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CA,35,125949,23591,156407,156407,125949,23591,156407,1,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CA,36,151208,81666,244044,244044,151208,81666,244044,1,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CA,37,118823,31960,158318,158318,118823,31960,158318,1,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CA,38,116851,0,116851,116851,116851,0,116851,1,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CA,39,100132,64832,164964,164964,100132,64832,164964,1,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CA,40,69684,147617,217301,217301,69684,147617,217301,1,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CA,41,0,181605,218937,218937,0,181605,218937,2,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CA,42,78393,167632,246025,246025,78393,167632,246025,3,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CA,43,86830,44004,130834,130834,86830,44004,130834,1,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CA,44,78796,138768,225123,225123,78796,138768,225123,2,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CA,45,76967,153523,230490,230490,76967,153523,230490,1,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CA,46,90129,171318,276690,276690,90129,171318,276690,2,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CA,47,65684,43099,108783,108783,65684,43099,108783,1,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
