state,cd,year,total_vote,rep_vote,rep_candidate,dem_vote,dem_candidate,other_vote,plurality_vote,plurality_party,source_volume,confidence
CALIFORNIA,14,2014,142906.0,43150.0,"BUSSELL, HUGH",99756.0,"SWALWELL, ERIC*",,,,31,low
CALIFORNIA,14,2012,231034.0,120388.0,aann,110646.0,"SWALWELL, ERIC",,,,31,low
CALIFORNIA,15,2014,91220.0,44943.0,"TACHERRA, JOHNNY M.",46277.0,"COSTA, JIM*",,,,31,low
CALIFORNIA,15,2012,147450.0,62801.0,NOW,84649.0,"WHELAN, BRIAN DANIEL",,,,31,low
CALIFORNIA,16,2014,134408.0,69561.0,"HONDA, MICHAEL M.*",64847.0,,,,,31,low
CALIFORNIA,16,2012,216728.0,57336.0,NN,159392.0,"LI, EVELYN",,,,31,low
CALIFORNIA,17,2014,196386.0,63326.0,"FOX, RICHARD B.",133060.0,"ESHOO, ANNA G.*",,,,31,low
CALIFORNIA,17,2012,301934.0,89103.0,CO,212831.0,"CHAPMAN, DAVE",,,,31,low
CALIFORNIA,18,2014,127788.0,85888.0,"LOFGREN, ZOE*",41900.0,,,,,31,low
CALIFORNIA,18,2012,221613.0,59313.0,"MURRAY, ROBERT",162300.0,"LOFGREN, ZOE*",,,,31,low
CALIFORNIA,19,2014,141044.0,106034.0,"FARR, SAM*",35010.0,,,,,31,low
CALIFORNIA,19,2012,233562.0,60566.0,Roh,172996.0,"TAYLOR, JEFF",,,,31,low
CALIFORNIA,20,2014,79377.0,45907.0,"VALADAO, DAVID G.*",33470.0,"RENTERIA, AMANDA",,,,31,low
CALIFORNIA,20,2012,116283.0,67164.0,RO,49119.0,"VALADAO, DAVID G.",,,,31,low
CALIFORNIA,21,2014,133342.0,96053.0,"NUNES, DEVIN*",37289.0,"AGUILERAMARRERO, SUZANNA SAM",,,,31,low
CALIFORNIA,21,2012,213941.0,132386.0,Lea,81555.0,"NUNES, DEVIN*",,,,31,low
CALIFORNIA,22,2014,134043.0,100317.0,"MCCARTHY, KEVIN*",33726.0,"GARCIA, RAUL",,,,31,low
CALIFORNIA,22,2012,216003.0,158161.0,RO,57842.0,"MCCARTHY, KEVIN*",,,,31,low
CALIFORNIA,23,2014,198794.0,95566.0,"MITCHUM, CHRIS",103228.0,"CAPPS, LOIS*",,,,31,low
CALIFORNIA,23,2012,284495.0,127746.0,ho,156749.0,"MALDONADO, ABEL",,,,31,low
CALIFORNIA,24,2014,114072.0,60847.0,"KNIGHT, STEPHEN",53225.0,,,,,31,low
CALIFORNIA,24,2012,236575.0,129593.0,Rh,106982.0,"MCKEON, HOWARD P. BUCK*",,,,31,low
CALIFORNIA,25,2014,169829.0,82653.0,"GORELL, JEFF",87176.0,"BROWNLEY, JULIA*",,,,31,low
CALIFORNIA,25,2012,263935.0,124863.0,oso,139072.0,"STRICKLAND, TONY",,,,31,low
CALIFORNIA,26,2014,127580.0,51852.0,"ORSWELL, JACK",75728.0,"CHU, JUDY*",,,,31,low
CALIFORNIA,26,2012,241008.0,86817.0,ROR,154191.0,"ORSWELL, JACK",,,,31,low
CALIFORNIA,27,2014,120264.0,91996.0,"SCHIFF, ADAM B,*",28268.0,,,,,31,low
CALIFORNIA,27,2012,246711.0,58008.0,re,188703.0,"JENNERJAHN, PHIL",,,,31,low
CALIFORNIA,28,2014,19.0,2014.0,"LEADER, WILLIAM OCALLAGHAN",67141.0,"CARDENAS, TONY*",,,,31,low
CALIFORNIA,28,2012,29.0,2012.0,"CARDENAS, TONY",150281.0,,,,,31,low
CALIFORNIA,29,2014,30.0,2014.0,"REED, MARK",131883.0,"SHERMAN, BRAD*",,,,31,low
CALIFORNIA,29,2012,30.0,2012.0,"SHERMAN, BRAD*",247851.0,,,,,31,low
CALIFORNIA,30,2014,31.0,2014.0,"CHABOT, PAUL",99784.0,"AGUILAR, PETE",,,,31,low
CALIFORNIA,30,2012,31.0,2012.0,"MILLER, GARY G.*",161219.0,,,,,31,low
CALIFORNIA,31,2014,32.0,2014.0,"ALAS, ARTURO ENRIQUE",84406.0,"NAPOLITANO, GRACE F.*",,,,31,low
CALIFORNIA,31,2012,32.0,2012.0,"MILLER, DAVID L.",190111.0,"NAPOLITANO, GRACE F.*",,,,31,low
CALIFORNIA,32,2014,33.0,2014.0,"CARR, ELAN S.",183031.0,"LIEU, TED",,,,31,low
CALIFORNIA,32,2012,33.0,2012.0,"WAXMAN, HENRY A.*",318520.0,,,,,31,low
CALIFORNIA,33,2014,34.0,2014.0,"BECERRA, XAVIER*",61621.0,,,,,31,low
CALIFORNIA,33,2012,34.0,2012.0,"SMITH, STEPHEN",140590.0,"BECERRA, XAVIER*",,,,31,low
CALIFORNIA,34,2014,35.0,2014.0,"TORRES, NORMA J.",62475.0,,,,,31,low
CALIFORNIA,34,2012,35.0,2012.0,"MCLEOD, GLORIA NEGRETE",142680.0,,,,,31,low
CALIFORNIA,35,2014,36.0,2014.0,"NESTANDE, BRIAN",134139.0,"RUIZ, RAUL*",,,,31,low
CALIFORNIA,35,2012,36.0,2012.0,"BONO MACK, MARY*",208142.0,"RUIZ, RAUL",,,,31,low
CALIFORNIA,36,2014,37.0,2014.0,"KING, R. ADAM",114838.0,"BASS, KAREN*",,,,31,low
CALIFORNIA,36,2012,37.0,2012.0,"OSBORNE, MORGAN",239580.0,"BASS, KAREN*",,,,31,low
CALIFORNIA,37,2014,38.0,2014.0,"CAMPOS, BENJAMIN",98480.0,"SANCHEZ, LINDA T.*",,,,31,low
CALIFORNIA,37,2012,38.0,2012.0,"CAMPOS, BENJAMIN",215087.0,"SANCHEZ, LINDA T.*",,,,31,low
CALIFORNIA,38,2014,39.0,2014.0,"ROYCE, EDWARD R.*",133225.0,"ANDERSON, PETER",,,,31,low
CALIFORNIA,38,2012,39.0,2012.0,"ROYCE, EDWARD R.*",251967.0,"CHEN, JAY",,,,31,low
CALIFORNIA,39,2014,40.0,2014.0,"ROYBALALLARD, LUCILLE*",49379.0,,,,,31,low
CALIFORNIA,39,2012,40.0,2012.0,"ROYBALALLARD, LUCILLE*",125553.0,,,,,31,low
CALIFORNIA,40,2014,2014.0,82884.0,"ADAMS, STEVE",35936.0,"TAKANO, MARK*",,,,31,low
CALIFORNIA,40,2012,2012.0,175652.0,"TAVAGLIONE, JOHN",72074.0,"TAKANO, MARK",,,,31,low
CALIFORNIA,41,2014,42.0,2014.0,"CALVERT, KEN*",113390.0,"SHERIDAN, TIM",,,,31,low
CALIFORNIA,41,2012,42.0,2012.0,"CALVERT, KEN*",214947.0,"WILLIAMSON, MICHAEL",,,,31,low
